,PLAYER,POS,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,2ndPTS,FBPs,PITP,OppPTSOFFTO,Opp2ndPTS,OppFBPs,OppPITP,BLKA,PFD,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PTMR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,PERIPHERAL,Cluster
215,De'Aaron Fox,PG,SAC,20,29,10,19,25.1,9.4,3.8,9.5,40.2,0.4,1.3,28.9,1.4,2.1,66.7,0.4,2.3,2.8,3.7,2.2,0.9,0.2,2.2,19.4,0,0,-6.3,0.6,1.9,4.8,7.9,7.3,6.2,22.5,0.7,2.2,97.5,112.2,-14.7,23.0,1.66,22.7,1.9,10.8,6.2,13.7,42.2,45.1,22.4,97.68,6.4,86.2,13.8,73.3,22.7,12.1,19.8,14.7,16.5,50.5,22.0,78.0,81.8,18.2,27.9,72.1,9.999999999999998,0
348,Lance Stephenson,SG,IND,27,34,19,15,22.6,8.4,3.3,7.5,43.9,0.7,2.2,30.7,1.1,1.6,66.1,0.9,4.4,5.2,2.8,1.5,0.5,0.2,2.0,19.2,0,0,-0.8,1.4,1.1,2.9,7.4,6.4,4.2,21.4,0.3,1.6,107.4,107.7,-0.3,17.6,1.81,22.1,4.4,22.4,13.3,12.2,48.4,50.8,19.1,98.73,9.7,70.6,29.4,62.7,28.2,24.3,13.4,13.0,16.2,34.5,22.5,77.5,60.9,39.1,30.4,69.6,10.799999999999999,7
358,Terrence Ross,SG,ORL,26,22,9,13,26.2,9.0,3.3,8.0,40.7,1.3,3.9,32.9,1.2,1.6,74.3,0.5,2.7,3.2,1.6,1.1,1.2,0.5,2.0,19.1,0,0,-1.0,0.9,0.9,2.6,8.4,7.4,6.7,27.8,0.4,1.2,104.8,105.2,-0.4,8.3,1.4,13.9,1.8,11.4,6.5,9.9,48.6,51.5,16.3,103.67,6.2,52.0,48.0,44.4,15.2,42.4,10.1,13.1,20.2,29.3,68.2,31.8,89.3,10.7,76.4,23.6,10.100000000000001,2
132,Markieff Morris,PF,WAS,28,26,14,12,23.6,10.3,4.1,8.7,46.9,1.0,2.6,38.8,1.1,1.3,82.9,1.0,3.2,4.2,1.2,1.7,0.6,0.5,3.1,19.0,0,0,-0.7,1.4,0.7,4.1,6.3,6.3,4.9,22.4,0.4,1.4,103.4,105.7,-2.3,8.0,0.73,10.1,4.6,15.4,9.9,13.9,52.7,55.3,20.9,97.79,7.3,70.4,29.6,59.9,20.2,29.2,6.4,10.9,9.0,39.7,45.0,55.0,100.0,0.0,58.5,41.5,8.7,3
138,Marvin Williams,PF,CHA,31,33,12,21,26.2,9.4,3.2,6.9,46.9,1.5,3.5,42.7,1.4,1.6,86.8,0.9,3.6,4.6,1.1,0.7,0.7,0.4,1.5,18.9,2,0,-0.3,1.0,1.2,2.8,8.2,6.1,5.5,23.7,0.4,1.5,105.6,104.9,0.7,6.0,1.46,11.3,3.8,14.7,9.3,7.7,57.9,61.7,13.8,101.07,9.5,48.7,51.3,36.8,6.5,48.4,12.9,14.8,11.3,30.3,71.9,28.1,98.0,2.0,84.1,15.9,9.499999999999998,3
47,Cody Zeller,C,CHA,25,19,7,12,19.9,7.2,2.5,5.0,49.5,0.1,0.1,100.0,2.2,3.1,72.4,2.4,3.1,5.5,0.8,1.1,0.5,1.1,2.7,18.7,1,0,-0.9,1.6,0.5,4.0,5.8,3.5,2.8,17.5,0.7,2.6,100.6,104.2,-3.6,6.6,0.76,10.2,12.3,17.4,14.7,13.3,50.0,56.8,15.9,101.28,8.9,98.9,1.1,67.2,11.7,2.2,7.3,30.7,11.7,55.5,76.1,23.9,100.0,0.0,76.6,23.4,11.5,1
131,Frank Kaminsky,PF,CHA,24,30,11,19,23.1,10.7,4.0,9.3,43.4,1.2,3.4,35.6,1.4,1.9,75.4,0.5,3.3,3.8,1.5,0.7,0.4,0.3,1.3,18.7,0,0,-3.0,0.8,0.5,4.8,6.6,4.2,4.0,21.5,0.5,1.4,101.6,108.4,-6.8,11.1,2.0,11.9,2.3,16.4,9.1,5.9,49.8,52.8,20.7,100.23,10.1,63.8,36.2,53.0,8.1,33.6,4.7,13.4,17.4,44.9,45.9,54.1,97.2,2.8,61.2,38.8,8.0,3
368,Yogi Ferrell,SG,DAL,24,35,10,25,28.8,10.0,3.6,8.3,43.1,1.5,3.9,39.3,1.3,1.6,82.1,0.3,3.0,3.3,2.3,1.2,0.8,0.1,2.1,18.7,1,0,1.3,0.9,0.9,2.3,7.7,6.0,8.0,23.3,0.4,1.7,102.8,100.8,2.1,12.4,1.84,18.1,1.2,11.8,6.3,9.8,52.2,55.5,16.3,96.18,7.9,53.4,46.6,41.3,17.8,45.6,9.5,13.2,15.5,23.5,36.1,63.9,69.8,30.2,50.4,49.6,8.7,6
127,Jeff Green,PF,CLE,31,34,24,10,22.1,10.6,3.8,7.6,49.8,0.6,1.8,33.3,2.4,2.9,85.6,0.9,2.6,3.5,1.4,0.9,0.6,0.3,1.9,18.6,1,0,2.4,1.0,1.2,5.6,6.4,6.1,3.9,19.6,0.5,2.2,111.0,104.3,6.6,9.9,1.53,12.9,4.7,12.8,9.0,8.4,53.7,59.9,20.2,99.07,10.3,76.7,23.3,60.2,7.2,16.7,11.7,23.1,18.1,52.9,63.9,36.1,100.0,0.0,69.5,30.5,8.000000000000002,3
282,Andre Iguodala,SF,GSW,33,29,23,6,26.6,5.9,2.3,5.2,44.0,0.5,1.9,25.0,0.9,1.4,62.5,0.9,3.1,4.0,3.3,1.1,0.7,0.7,1.3,18.6,0,0,3.3,0.6,1.4,3.0,11.0,7.7,8.0,24.5,0.3,1.4,109.0,101.6,7.4,16.1,2.97,32.2,4.1,11.8,8.2,10.9,48.7,51.0,11.3,101.51,7.6,62.7,37.3,60.8,9.4,24.6,23.4,14.6,13.5,51.5,55.8,44.2,78.6,21.4,60.6,39.4,12.700000000000001,6
357,Bogdan Bogdanovic,SG,SAC,25,30,10,20,25.1,10.1,3.9,8.4,46.2,1.3,3.5,36.2,1.1,1.4,78.6,0.3,2.0,2.4,2.3,1.6,1.0,0.3,1.8,18.6,0,0,-5.8,0.8,0.9,2.9,7.7,5.9,5.4,22.0,0.3,1.3,98.1,110.8,-12.7,14.8,1.43,18.0,1.5,10.1,5.6,12.6,53.8,56.2,19.2,97.19,8.2,58.2,41.8,51.5,22.4,37.6,8.6,10.9,19.1,29.0,42.3,57.7,68.4,31.6,50.9,49.1,8.500000000000002,6
218,Derrick Rose,PG,CLE,29,7,4,3,26.8,14.3,5.6,11.9,47.0,0.4,1.9,23.1,2.7,3.0,90.5,1.0,1.6,2.6,1.7,2.7,0.3,0.1,1.6,18.5,0,0,-7.4,1.0,1.1,8.9,12.4,7.1,9.1,30.6,1.0,2.1,106.2,118.8,-12.6,10.2,0.63,9.7,4.2,7.2,5.6,15.4,48.8,54.2,25.1,104.15,6.5,84.3,15.7,72.0,10.0,9.0,8.0,19.0,14.0,62.0,36.1,63.9,0.0,100.0,33.3,66.7,4.199999999999999,0
121,Pascal Siakam,PF,TOR,23,31,23,8,20.1,6.5,2.8,6.2,45.8,0.3,2.0,14.3,0.5,1.0,50.0,1.1,3.6,4.7,1.8,0.8,1.0,0.5,1.9,18.5,0,0,2.9,0.7,1.9,5.0,6.6,5.2,4.5,18.1,0.2,0.6,107.1,100.8,6.3,12.8,2.28,19.8,6.3,20.3,13.4,8.7,48.2,48.7,16.2,100.05,9.7,67.2,32.8,79.0,2.0,13.5,30.0,7.5,27.0,77.0,72.2,27.8,100.0,0.0,75.0,25.0,12.0,3
206,Mario Chalmers,PG,MEM,31,31,9,22,23.0,7.4,2.5,7.1,35.5,0.8,3.0,25.5,1.5,2.0,78.7,0.2,2.6,2.8,3.2,1.7,1.4,0.2,2.7,18.4,0,0,-1.1,0.4,0.9,2.8,8.3,5.6,7.4,19.8,0.5,2.6,101.6,105.2,-3.6,21.8,1.89,25.0,1.1,13.2,7.1,13.3,40.9,46.2,19.0,97.46,6.8,57.3,42.7,47.4,8.8,31.6,12.3,21.1,24.1,38.6,22.2,77.8,87.5,12.5,42.3,57.7,10.999999999999998,0
197,Tony Parker,PG,SAS,35,12,9,3,20.3,9.3,4.1,7.8,52.7,0.2,0.5,33.3,0.9,1.6,57.9,0.2,1.9,2.1,4.4,1.6,0.4,0.1,0.5,18.3,0,0,1.2,0.3,1.3,5.8,5.8,5.6,5.5,17.3,0.3,1.6,104.3,100.2,4.1,35.3,2.79,30.6,0.9,10.2,5.7,11.0,53.8,54.8,23.4,94.41,12.9,93.5,6.5,84.7,21.6,5.4,14.4,9.9,14.4,63.1,25.5,74.5,100.0,0.0,28.6,71.4,9.0,4
399,PJ Tucker,SF,HOU,32,32,25,7,27.8,6.1,2.0,5.0,39.8,1.3,3.4,36.4,0.9,1.1,80.0,1.2,5.0,6.2,0.9,0.9,1.2,0.3,2.8,18.2,2,0,6.7,1.0,0.4,1.3,10.8,7.1,7.0,24.7,0.3,1.0,113.9,102.6,11.3,4.5,0.97,12.3,4.9,20.0,12.7,12.7,52.2,55.6,10.0,101.67,6.5,31.7,68.3,24.5,3.1,61.2,7.1,14.3,20.4,21.4,62.5,37.5,97.5,2.5,84.4,15.6,12.1,3
280,Wesley Johnson,SF,LAC,30,28,11,17,24.5,6.9,2.6,6.4,40.8,0.9,3.0,28.6,0.8,1.1,71.0,0.5,3.0,3.4,1.1,1.0,1.1,1.1,2.3,18.1,0,0,-1.4,1.3,0.9,1.7,8.9,5.9,6.7,21.4,0.2,1.0,105.3,107.4,-2.1,6.4,1.03,11.9,2.1,13.5,7.8,11.5,47.5,49.8,14.2,99.49,5.8,53.1,46.9,51.0,26.0,37.5,12.5,11.5,15.1,25.0,73.5,26.5,95.8,4.2,80.8,19.2,11.200000000000001,3
196,Ish Smith,PG,DET,29,33,19,14,20.1,8.9,4.1,8.7,46.9,0.1,0.6,20.0,0.6,1.0,65.6,0.4,1.9,2.3,3.9,1.2,0.4,0.2,1.5,18.1,0,0,1.0,0.8,1.0,5.8,5.2,4.1,2.8,17.5,0.6,1.6,102.9,101.8,1.0,32.2,3.28,27.4,2.3,10.8,6.4,8.3,47.6,48.8,22.6,97.48,11.1,93.0,7.0,88.7,23.9,4.1,10.9,7.2,10.2,64.8,20.0,80.0,50.0,50.0,20.9,79.1,9.200000000000001,4
342,Alec Burks,SG,UTA,26,34,15,19,19.3,9.9,3.4,8.0,42.1,1.0,2.6,37.5,2.1,2.5,86.9,0.4,3.1,3.5,1.1,1.0,0.9,0.2,1.3,18.0,0,0,1.8,1.0,1.1,3.9,6.3,4.3,3.4,16.5,0.4,2.0,110.2,104.7,5.5,9.9,1.15,10.2,2.3,19.1,10.6,8.9,48.2,54.2,24.2,96.19,11.6,67.8,32.2,48.8,8.9,29.5,10.7,21.7,20.8,39.9,45.1,54.9,69.7,30.3,52.2,47.8,8.1,6
277,Justise Winslow,SF,MIA,21,27,13,14,22.6,6.6,2.7,6.3,42.6,0.6,1.5,39.0,0.6,1.0,65.4,1.0,4.4,5.4,1.9,1.0,0.7,0.4,1.7,18.0,0,0,-3.0,0.9,0.4,3.9,8.1,5.4,5.1,20.4,0.5,1.1,100.1,104.1,-4.0,13.4,1.82,19.7,4.8,21.3,13.2,10.8,47.3,49.0,15.6,98.25,9.5,75.7,24.3,63.3,4.5,27.1,6.8,9.6,14.1,58.8,48.2,51.8,100.0,0.0,59.7,40.3,11.4,7
271,Thabo Sefolosha,SF,UTA,33,32,14,18,20.8,8.1,3.1,6.1,50.5,0.9,2.3,38.9,1.0,1.3,80.5,0.6,3.3,3.9,0.8,0.7,1.3,0.3,1.4,17.9,1,0,2.5,0.6,1.2,3.8,6.7,4.9,3.3,16.9,0.4,1.2,107.9,100.5,7.5,6.4,1.13,9.9,3.3,18.9,11.1,8.7,57.7,60.5,16.5,96.31,11.8,63.3,36.7,54.8,7.7,32.4,14.3,12.7,25.1,47.1,63.4,36.6,92.9,7.1,71.7,28.3,9.799999999999999,3
213,Patty Mills,PG,SAS,29,35,24,11,24.9,9.7,3.4,7.9,43.2,1.9,4.7,39.6,1.0,1.2,87.8,0.3,1.7,2.0,2.9,1.3,0.7,0.2,1.5,17.8,0,0,1.4,0.5,0.9,1.6,7.5,6.7,4.7,22.5,0.1,1.9,108.3,106.3,2.1,17.0,2.22,22.7,1.3,7.9,4.6,10.2,54.9,57.6,17.7,96.31,8.4,41.0,59.0,32.3,15.8,57.2,8.8,10.6,12.3,16.4,49.1,50.9,69.2,30.8,60.0,40.0,8.100000000000001,6
214,Cory Joseph,PG,IND,26,34,19,15,25.0,7.7,2.9,6.7,42.4,1.0,2.4,42.0,1.0,1.1,89.2,0.2,2.3,2.6,2.9,0.9,0.9,0.3,1.3,17.7,0,0,-0.3,0.9,0.5,1.6,7.1,7.3,5.0,22.7,0.4,1.2,107.6,106.2,1.4,16.0,3.09,26.3,1.1,10.4,5.8,8.5,49.8,53.2,14.4,99.51,8.3,64.6,35.4,48.3,27.6,39.1,6.5,12.6,16.5,20.7,27.0,73.0,94.1,5.9,50.5,49.5,10.0,0
23,David West,C,GSW,37,32,25,7,13.1,6.6,2.9,4.8,61.2,0.1,0.2,42.9,0.7,1.1,67.6,0.8,2.4,3.3,1.8,1.0,0.7,1.2,1.5,17.6,0,0,2.4,1.1,0.6,3.8,3.7,3.9,2.7,11.8,0.1,1.1,108.0,95.4,12.6,20.6,1.81,22.1,7.9,18.6,13.8,12.2,62.2,63.5,21.7,97.47,15.9,95.4,4.6,84.9,27.4,4.2,9.4,10.8,11.3,57.5,75.6,24.4,66.7,33.3,75.3,24.7,11.000000000000002,5
287,Stanley Johnson,SF,DET,21,30,16,14,27.9,7.5,2.5,7.1,35.7,1.0,3.5,29.5,1.4,1.8,77.8,0.5,3.2,3.7,1.4,0.9,1.2,0.2,2.4,17.4,1,0,-3.1,0.9,1.2,1.9,8.6,7.1,5.5,24.5,0.4,1.3,102.2,107.6,-5.4,7.4,1.65,14.1,2.0,13.4,7.6,8.5,43.0,47.5,14.1,97.27,5.2,50.7,49.3,40.0,15.1,41.3,15.6,18.7,14.7,24.9,53.3,46.7,96.8,3.2,71.1,28.9,9.899999999999999,2
46,Bam Adebayo,C,MIA,20,25,11,14,19.8,6.9,2.6,4.3,60.7,0.0,0.0,0.0,1.7,2.3,74.1,1.7,3.2,4.9,1.0,0.9,0.7,0.6,2.1,17.4,2,0,-1.8,1.4,0.5,4.8,7.6,4.8,3.8,17.7,0.3,2.2,102.5,106.1,-3.5,8.3,1.18,14.4,10.7,20.5,15.5,12.2,60.7,65.3,14.8,94.2,11.0,99.1,0.9,75.1,5.8,0.0,6.9,24.9,15.0,69.4,69.2,30.8,0.0,0.0,69.2,30.8,10.499999999999998,1
283,Evan Turner,SF,POR,29,33,17,16,26.6,7.8,3.1,7.3,42.3,0.3,1.4,22.2,1.3,1.6,84.6,0.4,3.3,3.7,2.3,1.6,0.7,0.4,2.2,17.4,0,0,-1.2,1.0,0.5,2.4,8.7,6.5,5.1,23.9,0.2,1.7,100.2,102.8,-2.7,13.8,1.43,19.5,1.5,13.3,7.5,13.7,44.4,48.9,16.0,98.6,7.2,81.3,18.7,71.3,40.3,11.6,6.6,17.1,13.6,31.0,13.0,87.0,100.0,0.0,21.6,78.4,9.599999999999998,0
190,Dejounte Murray,PG,SAS,21,35,24,11,18.3,6.6,2.6,6.3,42.0,0.1,0.3,25.0,1.2,1.7,74.1,1.1,3.6,4.7,2.6,1.5,0.7,0.2,1.7,17.3,2,0,2.3,0.8,1.4,3.8,6.2,3.3,4.7,15.3,0.5,1.5,103.1,95.2,7.9,21.8,1.67,23.2,6.6,21.3,14.0,13.9,42.7,47.0,20.7,97.58,10.9,94.5,5.5,77.4,19.1,3.9,20.9,18.7,17.8,58.3,21.3,78.7,100.0,0.0,23.9,76.1,10.700000000000001,7
401,JR Smith,SG,CLE,32,33,23,10,30.3,7.7,2.8,7.4,37.4,1.8,5.2,34.5,0.4,0.6,63.2,0.5,2.6,3.1,2.2,1.0,1.1,0.1,2.4,17.2,0,0,0.2,0.4,0.1,1.3,10.8,7.9,7.3,29.4,0.1,1.2,111.9,111.2,0.7,10.1,2.24,20.6,1.7,9.9,5.8,9.2,49.6,50.3,12.7,98.49,4.6,29.6,70.4,25.3,8.7,70.0,1.2,4.7,13.8,16.6,31.3,68.8,91.5,8.5,70.3,29.7,9.5,2
111,Michael Beasley,PF,NYK,29,27,13,14,17.5,10.9,4.6,8.9,51.9,0.3,0.9,33.3,1.3,1.9,67.3,1.1,3.1,4.1,1.1,2.1,0.2,0.4,1.8,17.1,1,0,-0.3,1.3,0.3,7.0,8.4,4.9,3.9,15.3,0.4,1.5,106.1,108.6,-2.4,10.8,0.52,8.5,7.4,20.8,14.1,16.5,53.5,55.5,29.5,98.42,10.9,90.0,10.0,79.9,15.7,8.2,2.7,11.9,15.4,64.2,41.9,58.1,87.5,12.5,44.8,55.2,6.200000000000001,1
37,Jakob Poeltl,C,TOR,22,32,23,9,17.3,7.1,3.2,4.7,67.3,0.0,0.1,50.0,0.8,1.5,52.1,2.2,2.4,4.5,0.4,0.8,0.4,1.2,2.5,17.1,2,0,1.6,1.9,0.4,6.1,5.4,4.4,4.1,16.3,0.4,1.7,105.6,101.3,4.3,3.6,0.5,6.2,13.8,16.1,14.9,12.4,67.7,66.6,15.2,101.14,10.5,98.7,1.3,87.7,1.8,1.3,6.1,11.0,24.6,86.0,73.0,27.0,100.0,0.0,73.3,26.7,10.000000000000002,5
122,Marquese Chriss,PF,PHX,20,36,13,23,20.4,6.3,2.3,5.6,40.4,0.6,2.3,28.0,1.1,1.7,66.1,0.9,3.9,4.8,1.1,1.1,0.5,1.0,2.9,17.1,0,0,-1.9,0.7,0.8,2.9,8.2,6.3,5.4,20.8,0.4,1.4,104.8,108.6,-3.8,7.5,1.0,12.9,4.5,19.6,12.1,12.9,46.1,49.5,15.5,102.78,6.1,59.6,40.4,51.8,6.1,30.3,12.3,18.0,11.4,45.6,67.8,32.2,100.0,0.0,76.8,23.2,10.8,3
275,Josh Jackson,SF,PHX,20,36,13,23,22.2,9.3,3.4,9.0,38.3,0.6,2.4,24.4,1.8,3.2,56.1,1.0,2.6,3.6,1.1,1.8,0.9,0.3,2.8,17.1,0,0,-7.3,1.5,1.8,4.4,9.0,7.1,7.1,23.8,0.8,2.5,96.9,110.5,-13.6,7.9,0.58,8.0,4.6,12.4,8.4,13.6,41.5,44.5,22.9,104.64,3.7,73.5,26.5,61.9,13.8,18.9,19.2,19.2,14.7,48.0,32.0,68.0,100.0,0.0,43.5,56.5,7.800000000000001,6
34,Richaun Holmes,C,PHI,24,18,5,13,16.6,7.3,3.2,5.7,55.3,0.2,1.0,16.7,0.8,1.2,71.4,1.3,3.7,5.0,1.1,0.7,0.4,0.5,2.6,17.0,1,0,-2.1,1.6,0.8,5.8,7.3,4.3,4.4,15.4,0.3,1.1,104.8,107.6,-2.8,10.7,1.67,13.9,8.5,22.6,15.9,8.3,56.8,58.8,17.4,103.68,11.5,82.5,17.5,81.8,3.0,6.8,10.6,11.4,13.6,78.8,74.1,25.9,100.0,0.0,75.4,24.6,9.7,1
360,Andre Roberson,SG,OKC,26,32,18,14,26.4,5.0,2.3,4.3,53.7,0.2,1.0,21.2,0.2,0.7,33.3,1.8,2.6,4.5,1.2,0.9,1.0,0.9,2.2,17.0,0,0,3.3,1.2,1.0,4.1,7.9,5.0,5.0,20.8,0.2,0.8,103.4,95.6,7.8,6.1,1.32,17.6,7.5,11.7,9.5,13.3,56.3,55.1,9.0,96.8,6.6,75.7,24.3,82.5,0.0,13.1,20.0,4.4,23.8,82.5,77.3,22.7,100.0,0.0,79.5,20.5,12.0,3
208,Tyler Ulis,PG,PHX,22,35,13,22,23.6,7.8,3.0,7.7,38.7,0.5,1.7,28.3,1.4,1.7,80.3,0.3,1.6,1.9,4.0,2.0,0.9,0.1,1.5,16.9,1,0,-5.3,0.3,0.6,2.7,9.6,7.0,6.5,24.6,0.7,1.6,99.7,110.9,-11.2,25.5,2.03,27.7,1.2,7.5,4.3,13.7,41.8,46.3,19.0,101.47,6.8,77.7,22.3,63.5,28.5,18.6,8.0,17.9,12.4,35.0,19.5,80.5,41.2,58.8,23.1,76.9,9.099999999999998,4
199,Delon Wright,PG,TOR,25,20,14,6,20.4,7.9,2.7,5.6,48.2,0.7,2.1,31.0,1.9,2.0,92.5,0.5,1.7,2.2,2.3,1.6,1.1,0.5,1.3,16.9,0,0,2.4,0.6,2.6,4.0,7.6,5.5,5.2,19.0,0.3,2.3,105.5,100.0,5.5,17.0,1.41,21.8,2.7,9.6,6.0,15.5,54.0,61.0,17.1,101.35,10.5,62.5,37.5,51.9,1.3,24.7,32.3,23.4,29.7,50.6,26.8,73.2,76.9,23.1,38.9,61.1,8.999999999999998,0
200,Emmanuel Mudiay,PG,DEN,21,30,17,13,20.4,9.5,3.3,8.2,39.7,1.1,2.8,40.5,1.8,2.3,79.7,0.4,2.1,2.5,3.1,2.1,0.5,0.1,1.2,16.9,0,0,-4.7,0.8,1.2,3.4,10.5,5.5,5.2,20.4,0.9,1.8,100.7,111.8,-11.1,24.7,1.52,21.7,2.3,11.0,6.6,14.3,46.6,51.4,23.5,101.34,8.7,66.0,34.0,44.9,9.1,35.8,13.0,19.3,15.4,35.8,32.8,67.2,73.5,26.5,46.9,53.1,7.399999999999999,0
124,Jerami Grant,PF,OKC,23,33,19,14,20.9,7.9,2.9,5.6,51.4,0.4,1.4,27.7,1.7,2.6,67.1,1.1,2.5,3.6,0.8,0.8,0.6,0.9,2.0,16.9,1,0,-0.3,1.4,0.7,4.7,6.5,6.1,4.2,17.2,0.6,2.5,102.1,102.6,-0.4,6.2,0.93,9.4,6.1,14.2,10.0,10.1,54.9,58.5,16.1,99.07,9.1,74.6,25.4,63.1,3.1,15.0,9.2,21.9,26.5,60.0,73.2,26.8,92.3,7.7,75.8,24.2,8.999999999999998,3
274,Chandler Parsons,SF,MEM,29,25,9,16,21.1,8.9,3.4,7.0,48.9,1.5,3.6,41.8,0.6,1.0,60.0,0.5,2.4,2.9,2.0,1.1,0.5,0.3,1.8,16.9,0,0,0.8,0.9,1.0,2.6,7.2,4.3,5.8,18.7,0.3,1.0,107.7,106.7,1.1,15.4,1.82,19.3,2.7,13.9,8.3,10.6,59.8,60.3,18.5,97.26,9.7,47.7,52.3,42.2,12.6,51.1,10.8,6.7,15.2,29.6,38.3,61.7,89.5,10.5,61.2,38.8,7.999999999999998,6
356,Garrett Temple,SG,SAC,31,32,11,21,25.0,7.8,2.8,7.3,37.6,1.4,3.8,36.4,0.9,1.3,75.0,0.3,2.1,2.4,1.7,1.0,0.9,0.6,2.2,16.8,0,0,-5.3,1.0,0.6,1.3,8.0,6.3,5.8,21.8,0.3,1.4,98.2,110.2,-12.0,10.0,1.69,16.0,1.5,10.2,5.6,9.5,47.0,49.7,15.7,97.72,5.5,48.3,51.7,35.2,18.4,52.8,7.6,12.0,13.6,16.8,50.0,50.0,88.6,11.4,69.3,30.7,9.0,2
191,Shabazz Napier,PG,POR,26,27,14,13,18.5,8.7,3.2,6.6,49.2,1.0,2.2,45.8,1.3,1.6,81.0,0.3,1.6,1.9,1.6,0.9,1.3,0.1,0.9,16.8,0,0,1.6,1.1,0.9,2.1,5.7,4.7,2.2,16.6,0.4,2.1,100.1,97.2,3.0,15.0,1.91,16.8,1.8,9.6,5.7,8.8,56.8,60.1,19.5,97.11,14.2,66.7,33.3,51.1,27.2,34.5,9.8,14.5,14.5,23.8,15.0,85.0,70.4,29.6,32.2,67.8,8.100000000000001,0
45,Tyler Zeller,C,BKN,28,25,8,17,19.1,8.5,3.5,6.0,59.1,0.2,0.6,35.7,1.2,1.9,66.0,1.7,3.4,5.1,0.7,1.1,0.3,0.4,1.8,16.7,0,0,1.8,1.7,0.3,6.2,7.0,3.8,4.7,17.2,0.5,1.9,106.4,104.9,1.5,5.8,0.64,8.3,9.4,18.6,14.0,13.0,60.7,62.5,17.8,100.16,10.5,90.6,9.4,78.3,5.7,7.1,3.3,14.6,10.8,72.6,78.3,21.7,100.0,0.0,79.5,20.5,8.2,1
27,Jordan Bell,C,GSW,23,28,24,4,14.1,5.3,2.5,3.5,70.4,0.0,0.0,0.0,0.3,0.4,75.0,1.4,2.4,3.7,1.7,1.0,0.7,1.1,1.9,16.7,1,0,4.1,1.1,1.1,4.7,4.8,4.5,3.4,12.4,0.3,0.6,115.5,99.0,16.4,15.8,1.62,26.2,11.8,15.9,14.1,16.2,70.4,71.2,14.4,101.76,12.2,99.0,1.0,93.9,4.1,0.0,21.8,6.1,20.4,89.8,68.1,31.9,0.0,0.0,68.1,31.9,11.399999999999999,5
43,Kosta Koufos,C,SAC,28,33,11,22,18.3,5.1,2.3,4.5,51.0,0.0,0.0,0.0,0.6,1.3,45.2,1.8,3.9,5.7,1.3,0.6,0.6,0.5,1.7,16.6,0,0,-5.5,1.2,0.1,4.4,5.0,5.8,3.3,16.1,0.4,1.6,94.5,109.6,-15.1,11.2,2.1,18.5,10.3,24.3,16.9,8.8,51.0,51.1,13.8,96.69,10.8,100.0,0.0,88.8,2.4,0.0,2.4,11.2,8.3,86.4,69.3,30.7,0.0,0.0,69.3,30.7,11.500000000000002,5
113,Trey Lyles,PF,DEN,22,29,16,13,17.7,8.8,3.2,6.2,51.9,1.2,2.6,45.9,1.1,1.6,69.6,0.9,3.3,4.2,0.9,0.7,0.4,0.3,1.1,16.6,2,0,0.0,1.6,0.3,3.9,6.6,3.2,3.3,16.4,0.2,1.4,106.0,107.4,-1.4,8.3,1.3,10.5,5.5,21.8,13.5,8.1,61.3,63.1,18.8,97.59,13.6,59.1,40.9,47.2,2.4,40.2,3.5,12.6,13.8,44.9,51.7,48.3,100.0,0.0,69.1,30.9,7.800000000000001,3
355,Joe Harris,SG,BKN,26,31,12,19,24.3,9.7,3.5,7.9,44.7,1.9,5.3,36.0,0.7,0.9,72.4,0.4,2.3,2.7,1.5,0.9,0.5,0.2,2.0,16.5,0,0,-1.5,0.9,1.2,3.0,9.3,6.5,5.8,23.1,0.5,0.9,105.1,109.1,-4.0,9.3,1.68,14.1,1.8,10.2,5.9,8.4,56.7,58.0,16.1,102.02,7.4,33.3,66.7,34.0,3.3,59.0,12.7,7.0,13.0,30.7,70.6,29.4,96.6,3.4,84.5,15.5,6.800000000000001,2
39,Dwight Powell,C,DAL,26,34,10,24,17.9,6.5,2.6,4.8,54.6,0.3,1.2,25.0,1.0,1.4,68.8,1.5,3.4,4.9,0.9,0.7,0.7,0.4,2.0,16.5,1,0,2.6,1.3,0.5,4.3,5.4,4.0,5.4,13.1,0.3,1.9,105.4,98.4,7.0,8.3,1.33,13.3,9.5,21.0,15.3,10.0,57.7,60.0,15.6,96.42,11.8,75.5,24.5,71.5,5.4,13.6,7.2,14.9,12.2,66.1,78.5,21.5,100.0,0.0,80.9,19.1,10.0,1
